番号,集数,名字,播放量,投稿时间,作者,收藏数,硬币数,评论数,弹幕数,标签
15742157,1,【300P/ OVA】金色的卡修 第02话【极影】,405,2017-10-27 10:54,幻影动漫社,15,1,1,0,"['校园', '日常', '搞笑', '动漫', '经典', '科幻', '动画', '冒险', '神作', '热血']"
15738389,1,【日语中字1992年10月12日播出】蜡笔小新- 跟妈妈的决斗-又去书店了哦,20058,2017-10-26 19:54,绿光战警,385,78,37,115,"['搞笑', '蜡笔小新', '蜡笔小新国语', '蜡笔小新日语', '蜡笔小新TV', '蜡笔小新妈妈', '蜡笔小新书店', '蜡笔小新买']"
15724936,1,【400P】迷你偶像大师OAD 第02话【幻樱字幕】,1363,2017-10-26 16:41,幻影动漫社,23,12,5,13,"['搞笑', '动漫', '经典', '泡面番', '神作', '热血']"
15735816,1,【540P/剧场版】金色的卡修：第101只魔物【极影】,4134,2017-10-26 16:41,幻影动漫社,178,18,14,20,"['冒险', '动漫', '科幻', '战争', '校园', '经典', '神作', '热血']"
15724758,1,【400P】迷你偶像大师OAD 第01话【幻樱字幕】,1091,2017-10-26 13:15,幻影动漫社,66,16,14,7,"['偶像大师', '百合', '高清', '搞笑', '动漫', '经典', '泡面番']"
15727451,1,【720P/补档】哆啦A梦新番(2007.1.26)睡觉天才大雄&鲁滨逊漂流装置【哆啦字幕组】,21011,2017-10-26 11:03,小哆啦AC,376,62,37,261,"['哆啦A梦', '哆啦A梦新番', '日本动漫']"
15722772,13,【美国】新战神金刚：传奇的保护神 第二季【深影字幕组/1080P】,1771,2017-10-26 10:54,岡坂日川,21,4,8,6,"['传奇的保护神', '欧美动画', '战神金刚', '新战神金刚', '新战神金刚：传奇的保护神']"
15722109,26,【576P/DVDRip】御伽草子 Otogi Zoshi 2004【R3】,3819,2017-10-26 10:41,起名费劲太郎,529,76,23,22,"['三木真一郎', 'TV动画', '三宅健太', '水泽史绘', '杉山大', '西久保瑞穗']"
15718227,26,【480P】魔豆传奇 日版1-26【魔豆字幕组】,49586,2017-10-25 21:45,魔豆传奇,5994,299,574,703,"['朴璐美', '魔豆传奇', 'TV动画', '冒险', '童年', '电视豆', '高木涉', '小林由美子', '川濑晶子', '园田英树', '大庭秀昭']"
15716512,1,【BD1080P】少女们向荒野进发OVA【DHR動研字幕組&千夏字幕组&茉语星梦】,2427,2017-10-25 18:35,とある科学のAki,151,22,16,3,"['花泽香菜', 'OVA', '少女们向荒野进发', '1080P', 'BDRIP', '福利内容']"
15704426,28,【DVDRIP/576P】飞轮少年【日语中字】,2947,2017-10-25 18:00,终生大会员,181,18,14,9,"['飞轮少年', 'DVDrip', '轮滑上天']"
15709198,16,【480P/DVDRip】美版 马赫5号 13集【原声无字】,509,2017-10-25 17:55,轩辕有三,48,3,0,0,"['经典', '欧美动画', '极速赛车', '马赫5号', 'Speed Racer']"
15693383,7,【美国】新战神金刚：传奇的保护神 第三季【深影字幕组/1080P】,845,2017-10-25 13:34,岡坂日川,73,6,4,1,"['传奇的保护神', '战神金刚', '百兽王', '欧美动画', '新战神金刚', '新战神金刚：传奇的保护神']"
15645875,11,【美国】新战神金刚：传奇的保护神 第一季【深影字幕组/1080P】,1413,2017-10-25 13:29,岡坂日川,95,4,7,8,"['传奇的保护神', '战神金刚', '百兽王', '欧美动画', '新战神金刚', '新战神金刚：传奇的保护神']"
15704778,1,【DVDrip480P】FW：滨虎 剧场版 2015【中文字幕】,3847,2017-10-25 12:48,hungry小浩纸,332,16,12,8,"['滨虎', '羽多野渉', 'FW: ハマトラ']"
15696494,12,【720P】侦探歌剧：少女福尔摩斯TD【黑川実業字幕組】,1187,2017-10-25 12:44,伫立守望-サリヤカ,109,18,21,19,"['日本动画', '三森铃子', '南条爱乃', '新田惠海', '橘田泉', '久保由利香', '搞笑', '720P', '佐佐木未来', '徳井青空']"
15695588,1,【1080p/BDRip】苍蓝雷霆：刚巴尔特 OVA [Armed Blue ~Gunvolt~] 【悠哈璃羽字幕社】,12613,2017-10-25 12:25,内田内田彩,304,16,14,15,"['OVA', '苍蓝雷霆', '苍蓝雷霆：刚巴尔特']"
15690713,1,【特别篇】Fate/Grand Order ‐First Order‐【英配生肉】,47237,2017-10-25 11:32,无所事事哈士奇,2268,142,165,289,"['日本动画', '1080P']"
15688291,1,【BD1080P】秋叶原电脑组 2011年的暑假 剧场版 1999【中文字幕】,1076,2017-10-24 17:56,hungry小浩纸,134,6,15,4,"['秋叶原电脑组', '2011年的暑假']"
15676354,1,【1080P/BDrip】鲁邦三世1995年特别篇 追寻哈里毛的宝藏【中文字幕】,6265,2017-10-24 17:53,魯邦叁世,453,103,45,215,"['田中真弓', '鲁邦三世', '次元大介', '峰不二子', '铃置洋孝', '1080P', '栗田贯一']"
